Sample	p_contig	chr_mean	chr_median	chr_std	p_mean	p_median	p_std	mean_ratio	median_ratio
EC01	2	241.85	244	42.47	142.44	144	29.26	0.5889	0.5901
EC01	3	241.85	244	42.47	140.42	141	26.35	0.5806	0.5778
EC01	4	241.85	244	42.47	634.61	589	205.19	2.6239	2.4139
EC02	contig_2	247.34	250	46.4	187.11	188	43.04	0.7564	0.752
EC02	contig_3	247.34	250	46.4	197.54	198	46.18	0.7986	0.792
EC02	contig_4	247.34	250	46.4	197.29	197	32	0.7976	0.788
EC02	contig_5	247.34	250	46.4	894.45	909	289.9	3.6162	3.636
EC03	2	239.66	241	47.18	218.23	218	50	0.9105	0.9045
EC03	3	239.66	241	47.18	218.7	221	44.23	0.9125	0.917
EC03	4	239.66	241	47.18	302.35	304	76.05	1.2615	1.2614
EC03	5	239.66	241	47.18	394.06	379	85.6	1.6442	1.5726
EC04	2	281.06	283	51.93	244.46	244	51.87	0.8697	0.8621
EC04	3	281.06	283	51.93	174.86	172	42.6	0.6221	0.6077
EC04	4	281.06	283	51.93	945.02	982	327.76	3.3623	3.4699
EC04	5	281.06	283	51.93	1366.96	1404	227.72	4.8635	4.9611
EC05	2	233.73	236	49.12	202.27	201	48.98	0.8654	0.8516
EC05	3	233.73	236	49.12	176.72	177	39.6	0.756	0.75
EC05	4	233.73	236	49.12	597.28	603	154.77	2.5554	2.555
EC05	5	233.73	236	49.12	1318	1185	329.96	5.6389	5.0211
EC05	6	233.73	236	49.12	2091.67	2040	452.45	8.949	8.644
EC06	NODE_2+_length_112430_cov_0.997587	222.46	225	46.86	228.2	227	51.07	1.0258	1.0088
EC06	NODE_4+_length_35362_cov_2.01572	222.46	225	46.86	456.51	458	90.58	2.052	2.0355
EC06	NODE_5+_length_8828_cov_3.61635	222.46	225	46.86	818.21	833	200.2	3.678	3.7022
EC07	2	221.21	223	41.21	154.72	156	36.17	0.6994	0.6995
EC07	3	221.21	223	41.21	140.51	141	28.4	0.6351	0.6322
EC07	4	221.21	223	41.21	566.34	508	187.94	2.5601	2.278
EC08	2	257.65	260	43.93	253.78	256	48.39	0.9849	0.9846
