Strain	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
PF_EC01	1_PsyrTA_10	PsyrTA	PsyrTA	Defense	1_327	1_328	1_327,1_328	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC01	1_DS-8_1	DS-8	DS-8	Defense	1_788	1_788	1_788	1	DS-8__DS-8
PF_EC01	1_MazEF_6	MazEF	MazEF	Defense	1_967	1_968	1_967,1_968	2	MazEF__MazE,MazEF__MazF
PF_EC01	1_CAS_Class1-Subtype-I-E_19	Cas	CAS_Class1-Subtype-I-E	Defense	1_990	1_997	1_990,1_991,1_992,1_993,1_994,1_995,1_996,1_997	8	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1
PF_EC01	1_TgvAB_11	TgvAB	TgvAB	Defense	1_1235	1_1236	1_1235,1_1236	2	TgvAB__TgvA,TgvAB__TgvB
PF_EC01	1_Gao_Her_SIR_3	Gao_Her	Gao_Her_SIR	Defense	1_1624	1_1625	1_1624,1_1625	2	Gao_Her_SIR__HerA_SIR2,Gao_Her_SIR__SIR2
PF_EC01	1_RM_Type_I_15	RM	RM_Type_I	Defense	1_2223	1_2226	1_2223,1_2225,1_2226	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
PF_EC01	1_Hachiman_4	Hachiman	Hachiman	Defense	1_2229	1_2230	1_2229,1_2230	2	Hachiman__HamA_1,Hachiman__HamB
PF_EC01	1_DS-9_2	DS-9	DS-9	Defense	1_2231	1_2232	1_2231,1_2232	2	DS-9__DS-9A,DS-9__DS-9B
PF_EC01	1_PD-Lambda-3_9	PD-Lambda-3	PD-Lambda-3	Defense	1_2235	1_2236	1_2235,1_2236	2	PD-Lambda-3__PD-Lambda-3_A,PD-Lambda-3__PD-Lambda-3_B
PF_EC01	1_racc_23	Anti_Retron	racc	Antidefense	1_2408	1_2408	1_2408	1	racc
PF_EC01	1_PD-Lambda-1_8	PD-Lambda-1	PD-Lambda-1	Defense	1_2981	1_2981	1_2981	1	PD-Lambda-1__PD-Lambda-1
PF_EC01	1_ardb_klca_acric11_22	Anti_RM	ardb_klca_acric11	Antidefense	1_3460	1_3460	1_3460	1	klca
PF_EC01	1_UG17_12	All_UG	UG17	Defense	1_3766	1_3767	1_3766,1_3767	2	AbiA_small__SLATT,UG17__UG17
PF_EC01	1_RM_Type_IV_17	RM	RM_Type_IV	Defense	1_3886	1_3887	1_3886,1_3887	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC01	1_PrrC_14	PrrC	PrrC	Defense	1_3891	1_3893	1_3891,1_3892,1_3893	3	PrrC__EcoprrI,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_01
PF_EC01	1_MazEF_7	MazEF	MazEF	Defense	1_3930	1_3931	1_3930,1_3931	2	MazEF__MazE,MazEF__MazF
PF_EC01	2_ardb_klca_acric11_25	Anti_RM	ardb_klca_acric11	Antidefense	2_19	2_19	2_19	1	ardb
PF_EC01	2_psiab_26	Other	psiab	Antidefense	2_25	2_26	2_25,2_26	2	psia,psib
PF_EC01	2_arda_ardu_24	Anti_RM	arda_ardu	Antidefense	2_28	2_28	2_28	1	arda
PF_EC01	3_ardb_klca_acric11_28	Anti_RM	ardb_klca_acric11	Antidefense	3_30	3_30	3_30	1	ardb
PF_EC01	3_psiab_29	Other	psiab	Antidefense	3_36	3_37	3_36,3_37	2	psia,psib
PF_EC01	3_arda_ardu_27	Anti_RM	arda_ardu	Antidefense	3_39	3_39	3_39	1	arda
PF_EC01	4_RM_Type_II_18	RM	RM_Type_II	Defense	4_2	4_3	4_2,4_3	2	RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase23
PF_EC02	contig_1_circular_racc_16	Anti_Retron	racc	Antidefense	contig_1_circular_491	contig_1_circular_491	contig_1_circular_491	1	racc
PF_EC02	contig_1_circular_abc2_12	Anti_RecBCD	abc2	Antidefense	contig_1_circular_1209	contig_1_circular_1209	contig_1_circular_1209	1	abc2
